Gene,m1,m2,m3,m4,m5,m6,m7,m8,m9
0610005C13Rik,0,0,0,0,0,1.457008575,0,0.782116182,1.015131654
0610007N19Rik,17.49138924,3.09003321,5.403121624,10.52755229,4.275609444,7.285042877,6.494796828,6.256929455,4.060526617
0610007P14Rik,173.0726936,181.2819483,150.2067812,182.7965897,142.8053554,116.560686,117.834171,120.445892,140.0881683
0610008F07Rik,0,0,0,0,0,0,0,0,0
0610009B14Rik,0,0,0,0,0,0,0,0,0
0610009B22Rik,87.45694621,76.22081918,81.04682436,79.43516726,81.23657944,71.3934202,84.43235877,91.50759329,78.16513738
0610009D07Rik,313.0038075,284.2830553,258.2692136,306.2560665,228.3175443,206.8952177,188.349108,193.9648131,193.890146
0610009L18Rik,23.93558528,21.63023247,29.17685677,22.96920499,32.49463178,18.94111148,12.06176554,15.64232364,10.15131654
0610009O20Rik,273.4180318,225.5724243,224.7698596,198.109393,207.794619,170.4700033,160.5142645,171.2834438,174.6026445
0610010B08Rik,0.920599434,0,0,0,0,0,0,0,1.015131654
0610010F05Rik,476.8705067,398.6142841,380.3797623,187.5818408,340.3385118,320.5418866,343.2964038,361.3376761,382.7046337
0610010K14Rik,45.10937226,43.26046494,58.35371354,49.76661081,51.30731333,62.65136875,53.81403086,42.23427382,42.63552948
0610011F06Rik,74.56855414,97.85105164,81.04682436,111.9748743,90.64292022,80.13547165,64.94796828,66.47987546,59.8927676
0610012G03Rik,196.0876794,178.1919151,119.9493001,171.3119872,132.5438928,100.5335917,135.4629053,118.0995435,98.46777047
0610012H03Rik,0,0,0,0,0,0,0,0,1.015131654
0610030E20Rik,55.23596603,57.68061992,63.75683517,68.90761497,80.38145756,100.5335917,100.2054368,126.7028215,89.33158558
0610031J06Rik,50.63296886,106.0911402,69.15995679,109.1037237,85.51218889,67.02239447,95.56629619,96.20029038,96.43750716
0610031O16Rik,0,0,0,0,0,0,0,0,0
0610037L13Rik,157.4225032,146.2615719,138.3199136,116.7601254,121.4273082,122.3887203,155.8751239,111.0604978,135.01251
0610038B21Rik,0.920599434,0,0,0,0,0,0.927828118,0,2.030263309
0610038L08Rik,0,0,0,0,0,0,0,0,0
0610039K10Rik,0,0,0,1.914100416,0,0,0,0.782116182,0
0610040B10Rik,17.49138924,9.270099629,4.322497299,7.656401663,9.406340778,5.828034302,4.639140592,7.821161819,10.15131654
0610040F04Rik,0,1.03001107,3.241872975,5.742301247,5.985853222,0,1.855656237,7.039045637,3.045394963
0610040J01Rik,10.12659377,21.63023247,21.6124865,22.01215478,16.24731589,5.828034302,9.278281183,18.77078837,16.24210647
0610043K17Rik,35.90337792,35.02037638,22.69311082,33.49675728,23.088291,32.05418866,18.55656237,28.93829873,14.21184316
1100001G20Rik,0,0,0,0,0,1.457008575,0,0,0
1110001A16Rik,39.58577565,60.77065313,62.67621084,67.95056476,49.59706956,45.16726584,40.82443721,41.45215764,41.62039783
1110001J03Rik,65.3625598,82.40088559,79.96620004,89.00566934,48.74194767,43.71025726,51.03054651,52.40178419,66.99868918
1110002L01Rik,35.90337792,23.69025461,24.85435947,36.3679079,22.23316911,20.39812006,18.55656237,17.98867218,25.37829136
1110004E09Rik,84.69514791,105.0611291,77.80495139,64.12236393,65.84438544,74.30743735,98.34978054,91.50759329,96.43750716
1110004F10Rik,116.9161281,165.8317823,123.191173,214.3792466,135.9643803,131.1307718,118.7619991,131.3955186,140.0881683
1110006O24Rik,0,0,4.322497299,1.914100416,0,2.914017151,0,3.91058091,2.030263309
1110007C09Rik,23.93558528,22.66024354,11.88686757,12.4416527,11.11658456,10.19906003,13.91742178,20.33502073,16.24210647
1110008F13Rik,214.4996681,218.3623468,223.6892352,252.6612549,211.2151066,205.4382091,188.349108,176.7582571,197.9506726
1110008J03Rik,47.87117056,75.19080811,77.80495139,83.26336809,40.19072878,29.14017151,35.2574685,52.40178419,43.65066114
